A0A075B6S6	('T96060009133', 0)
Q12794	('T96060007778', 13911)
Q12796	('T96060013312', 13912)
Q12797	('T96060001267', 13913)
Q12799	('T96060017291', 13914)
Q12800	('T96060017455', 13915)
Q12815	('T96060018307', 13916)
Q12829	('T96060014165', 13917)
Q12830	('T96060001782', 13918)
Q12836	('T96060020379', 13919)
Q12837	('T96060013324', 13920)
Q12840	('T96060008794', 13921)
Q12841	('T96060006303', 13922)
Q12846	('T96060016779', 13923)
Q12849	('T96060007110', 13924)
Q12857	('T96060011189', 13925)
Q12873	('T96060003007', 13926)
Q12874	('T96060015726', 13927)
Q12889	('T96060012323', 13928)
Q12891	('T96060007779', 13929)
Q12899	('T96060018219', 13930)
Q12906	('T96060008109', 13931)
Q12908	('T96060011584', 13932)
Q12923	('T96060013838', 13933)
Q12929	('T96060005378', 13934)
Q12933	('T96060018158', 13935)
Q12934	('T96060001653', 13936)
Q12946	('T96060006212', 13937)
Q12947	('T96060006213', 13938)
Q12955	('T96060000817', 13939)
Q12968	('T96060011181', 13940)
Q12972	('T96060013397', 13941)
Q12980	('T96060011457', 13942)
Q12981	('T96060015616', 13943)
Q12982	('T96060001743', 13944)
Q12983	('T96060001744', 13945)
Q12986	('T96060011203', 13946)
Q12988	('T96060007658', 13947)
Q12996	('T96060003976', 13948)
Q13003	('T96060007074', 13949)
Q13015	('T96060000527', 13950)
Q13023	('T96060000649', 13951)
Q13033	('T96060016759', 13952)
Q13045	('T96060006130', 13953)
Q13057	('T96060003531', 13954)
Q13061	('T96060018182', 13955)
Q13064	('T96060010342', 13956)
Q13069	('T96060006433', 13957)
Q13075	('T96060001691', 13958)
Q13084	('T96060014669', 13959)
Q13087	('T96060012762', 13960)
Q13094	('T96060009259', 13961)
Q13099	('T96060007970', 13962)
Q13105	('T96060019669', 13963)
Q13107	('T96060018823', 13964)
Q13115	('T96060004941', 13965)
Q13123	('T96060014300', 13966)
Q13129	('T96060014645', 13967)
Q13131	('T96060000195', 13968)
Q13133	('T96060011488', 13969)
Q13144	('T96060005162', 13970)
Q13145	('T96060001555', 13971)
Q13151	('T96060014820', 13972)
Q13155	('T96060000619', 13973)
Q13156	('T96060014367', 13974)
Q13158	('T96060005843', 13975)
Q13164	('T96060010326', 13976)
Q13177	('T96060012478', 13977)
Q13183	('T96060015147', 13978)
Q13185	('T96060002299', 13979)
Q13200	('T96060013771', 13980)
Q13203	('T96060010747', 13981)
Q13214	('T96060015636', 13982)
Q13217	('T96060004718', 13983)
Q13219	('T96060012519', 13984)
Q13224	('T96060011318', 13985)
Q13231	('T96060003024', 13986)
Q13232	('T96060011030', 13987)
Q13233	('T96060009788', 13988)
Q13237	('T96060008729', 13989)
Q13241	('T96060008911', 13990)
Q13242	('T96060016583', 13991)
Q13243	('T96060016579', 13992)
Q13253	('T96060011355', 13993)
Q13255	('T96060007088', 13994)
Q13261	('T96060007804', 13995)
Q13277	('T96060016778', 13996)
Q13283	('T96060006388', 13997)
Q13285	('T96060016703', 13998)
Q13286	('T96060003334', 13999)
Q13291	('T96060016009', 14000)
Q13303	('T96060008570', 14001)
Q13304	('T96060006978', 14002)
Q13309	('T96060015993', 14003)
Q13310	('T96060012437', 14004)
Q13315	('T96060001378', 14005)
Q13322	('T96060007049', 14006)
Q13325	('T96060007927', 14007)
Q13326	('T96060015772', 14008)
Q13330	('T96060010633', 14009)
Q13332	('T96060013874', 14010)
Q13352	('T96060002840', 14011)
Q13356	('T96060013448', 14012)
Q13360	('T96060019885', 14013)
Q13361	('T96060010208', 14014)
Q13363	('T96060004014', 14015)
Q13368	('T96060010501', 14016)
Q13370	('T96060012742', 14017)
Q13371	('T96060012972', 14018)
Q13402	('T96060010818', 14019)
Q13404	('T96060018728', 14020)
Q13410	('T96060001831', 14021)
Q13416	('T96060012246', 14022)
Q13418	('T96060008111', 14023)
Q13421	('T96060010596', 14024)
Q13425	('T96060016190', 14025)
Q13427	('T96060013445', 14026)
Q13432	('T96060018668', 14027)
Q13435	('T96060015728', 14028)
Q13438	('T96060012258', 14029)
Q13442	('T96060007292', 14030)
Q13443	('T96060000454', 14031)
Q13444	('T96060000427', 14032)
Q13445	('T96060017865', 14033)
Q13449	('T96060009628', 14034)
Q13464	('T96060014829', 14035)
Q13469	('T96060011180', 14036)
Q13474	('T96060004871', 14037)
Q13477	('T96060009842', 14038)
Q13485	('T96060016058', 14039)
Q13488	('T96060019156', 14040)
Q13489	('T96060001693', 14041)
Q13492	('T96060013011', 14042)
Q13501	('T96060016518', 14043)
Q13503	('T96060010111', 14044)
Q13505	('T96060010700', 14045)
Q13509	('T96060017169', 14046)
Q13510	('T96060001207', 14047)
Q13522	('T96060013475', 14048)
Q13526	('T96060013049', 14049)
Q13536	('T96060003873', 14050)
Q13541	('T96060000115', 14051)
Q13542	('T96060000116', 14052)
Q13546	('T96060014566', 14053)
Q13547	('T96060007338', 14054)
Q13554	('T96060008577', 14055)
Q13557	('T96060008578', 14056)
Q13561	('T96060004388', 14057)
Q13568	('T96060008273', 14058)
Q13569	('T96060017317', 14059)
Q13571	('T96060009185', 14060)
Q13573	('T96060016197', 14061)
Q13574	('T96060004530', 14062)
Q13608	('T96060012865', 14063)
Q13618	('T96060004100', 14064)
Q13620	('T96060004102', 14065)
Q13627	('T96060004991', 14066)
Q13639	('T96060000133', 14067)
Q13641	('T96060018070', 14068)
Q13643	('T96060006079', 14069)
Q13651	('T96060007797', 14070)
Q13671	('T96060014553', 14071)
Q13685	('T96060000194', 14072)
Q13702	('T96060014119', 14073)
Q13724	('T96060010435', 14074)
Q13733	('T96060001302', 14075)
Q13751	('T96060009169', 14076)
Q13753	('T96060009172', 14077)
Q13769	('T96060017537', 14078)
Q13772	('T96060011010', 14079)
Q13790	('T96060001004', 14080)
Q13794	('T96060001016', 14081)
Q13795	('T96060001065', 14082)
Q13797	('T96060008330', 14083)
Q13813	('T96060016497', 14084)
Q13822	('T96060005310', 14085)
Q13823	('T96060011354', 14086)
Q13825	('T96060001447', 14087)
Q13829	('T96060001527', 14088)
Q13838	('T96060004963', 14089)
Q13867	('T96060001711', 14090)
Q13868	('T96060005535', 14091)
Q13875	('T96060010425', 14092)
Q13885	('T96060017167', 14093)
Q13886	('T96060008854', 14094)
Q13887	('T96060008850', 14095)
Q13895	('T96060001877', 14096)
Q13901	('T96060001897', 14097)
Q13907	('T96060007874', 14098)
Q13948	('T96060002190', 14099)
Q13951	('T96060012813', 14100)
Q13956	('T96060003401', 14101)
Q13972	('T96060014431', 14102)
Q13976	('T96060008728', 14103)
Q14002	('T96060002787', 14104)
Q14003	('T96060008620', 14105)
Q14004	('T96060002690', 14106)
Q14008	('T96060003188', 14107)
Q14011	('T96060003124', 14108)
Q14028	('T96060003417', 14109)
Q14031	('T96060003497', 14110)
Q14032	('T96060001523', 14111)
Q14050	('T96060003519', 14112)
Q14055	('T96060003518', 14113)
Q14088	('T96060014159', 14114)
Q14103	('T96060007554', 14115)
Q14106	('T96060018024', 14116)
Q14108	('T96060015567', 14117)
Q14114	('T96060009600', 14118)
Q14116	('T96060008056', 14119)
Q14118	('T96060004271', 14120)
Q14119	('T96060019076', 14121)
Q14123	('T96060012739', 14122)
Q14126	('T96060004890', 14123)
Q14135	('T96060019084', 14124)
Q14140	('T96060016585', 14125)
Q14146	('T96060018963', 14126)
Q14149	('T96060010447', 14127)
Q14151	('T96060015384', 14128)
Q14152	('T96060005173', 14129)
Q14155	('T96060001085', 14130)
Q14156	('T96060005129', 14131)
Q14159	('T96060016408', 14132)
Q14160	('T96060015569', 14133)
Q14161	('T96060006715', 14134)
Q14168	('T96060010500', 14135)
Q14185	('T96060004747', 14136)
Q14191	('T96060019367', 14137)
Q14194	('T96060004829', 14138)
Q14195	('T96060004831', 14139)
Q14197	('T96060007860', 14140)
Q14201	('T96060001858', 14141)
Q14202	('T96060019851', 14142)
Q14203	('T96060004387', 14143)
Q14207	('T96060011417', 14144)
Q14210	('T96060009717', 14145)
Q14232	('T96060005159', 14146)
Q14240	('T96060007901', 14147)
Q14241	('T96060005219', 14148)
Q14244	('T96060009930', 14149)
Q14247	('T96060016530', 14150)
Q14249	('T96060011634', 14151)
Q14254	('T96060006136', 14152)
Q14257	('T96060014262', 14153)
Q14258	('T96060018218', 14154)
Q14314	('T96060006068', 14155)
Q14315	('T96060006134', 14156)
Q14318	('T96060006122', 14157)
Q14320	('T96060005781', 14158)
Q14332	('T96060006372', 14159)
Q14376	('T96060006454', 14160)
Q14392	('T96060009527', 14161)
Q14393	('T96060006488', 14162)
Q14439	('T96060006929', 14163)
Q14442	('T96060013023', 14164)
Q14444	('T96060002145', 14165)
Q14449	('T96060007050', 14166)
Q14493	('T96060016019', 14167)
Q14494	('T96060011176', 14168)
Q14498	('T96060014206', 14169)
Q14500	('T96060008597', 14170)
Q14507	('T96060005336', 14171)
Q14508	('T96060019317', 14172)
Q14515	('T96060016454', 14173)
Q14517	('T96060005890', 14174)
Q14520	('T96060007276', 14175)
Q14525	('T96060009086', 14176)
Q14526	('T96060007444', 14177)
Q14527	('T96060007483', 14178)
Q14532	('T96060008479', 14179)
Q14534	('T96060005408', 14180)
Q14541	('T96060007539', 14181)
Q14542	('T96060015246', 14182)
Q14558	('T96060008947', 14183)
Q14562	('T96060004582', 14184)
Q14563	('T96060015635', 14185)
Q14565	('T96060004673', 14186)
Q14571	('T96060008368', 14187)
Q14574	('T96060004880', 14188)
Q14576	('T96060005193', 14189)
Q14582	('T96060009841', 14190)
Q14586	('T96060019932', 14191)
Q14593	('T96060019934', 14192)
Q14624	('T96060008354', 14193)
Q14627	('T96060007803', 14194)
Q14643	('T96060008367', 14195)
Q14644	('T96060014127', 14196)
Q14653	('T96060008271', 14197)
Q14654	('T96060008596', 14198)
Q14656	('T96060017742', 14199)
Q14657	('T96060009158', 14200)
Q14669	('T96060018284', 14201)
Q14678	('T96060008520', 14202)
Q14679	('T96060018483', 14203)
Q14681	('T96060008693', 14204)
Q14683	('T96060016074', 14205)
Q14684	('T96060014937', 14206)
Q14686	('T96060011012', 14207)
Q14689	('T96060004601', 14208)
Q14691	('T96060013755', 14209)
Q14692	('T96060001737', 14210)
Q14693	('T96060009486', 14211)
Q14697	('T96060006474', 14212)
Q14714	('T96060016604', 14213)
Q14721	('T96060008616', 14214)
Q14722	('T96060008569', 14215)
Q14728	('T96060010220', 14216)
Q14738	('T96060000082', 14217)
Q14746	('T96060003548', 14218)
Q14749	('T96060006844', 14219)
Q14761	('T96060013807', 14220)
Q14764	('T96060010734', 14221)
Q14765	('T96060016689', 14222)
Q14767	('T96060009654', 14223)
Q14773	('T96060007850', 14224)
Q14774	('T96060007484', 14225)
Q147G5	('T37020002277', 14226)
Q147U1	('T96060020287', 14227)
Q14807	('T96060008780', 14228)
Q14832	('T96060007092', 14229)
Q14833	('T96060007093', 14230)
Q14847	('T96060009197', 14231)
Q14894	('T96060003897', 14232)
Q14896	('T96060010839', 14233)
Q148B6	('T100900013954', 14234)
Q148V7	('T100900012074', 14235)
Q148W0	('T100900001137', 14236)
Q14916	('T96060011462', 14237)
Q14919	('T96060010972', 14238)
Q14929	('T96060019882', 14239)
Q14952	('T96060008759', 14240)
Q14980	('T96060011663', 14241)
Q14982	('T96060011979', 14242)
Q14997	('T96060013782', 14243)
Q14999	('T96060004104', 14244)
Q149C3	('T100900008015', 14245)
Q149M9	('T96060011683', 14246)
Q149N8	('T96060015855', 14247)
Q149R9	('T100900008122', 14248)
Q149S1	('T100900014820', 14249)
Q149T7	('T100900011328', 14250)
Q14B02	('T100900012436', 14251)
Q14B62	('T100900011640', 14252)
Q14B80	('T100900007417', 14253)
Q14BI2	('T100900005983', 14254)
Q14BI7	('T100900014791', 14255)
Q14BU0	('T100900016072', 14256)
Q14C86	('T96060006478', 14257)
Q14C87	('T96060016978', 14258)
Q14CB8	('T96060014489', 14259)
Q14CN2	('T96060003265', 14260)
Q14CZ0	('T96060003655', 14261)
Q14CZ7	('T96060005859', 14262)
Q14CZ8	('T96060007369', 14263)
Q14D04	('T96060010149', 14264)
Q14D33	('T96060015068', 14265)
Q15003	('T96060003403', 14266)
Q15004	('T96060012458', 14267)
Q15005	('T96060016358', 14268)
Q15011	('T96060007407', 14269)
Q15013	('T96060010072', 14270)
Q15018	('T96060000286', 14271)
Q15019	('T96060015677', 14272)
Q15022	('T96060016833', 14273)
Q15025	('T96060017980', 14274)
Q15027	('T96060000299', 14275)
Q15029	('T96060018702', 14276)
Q15036	('T96060016205', 14277)
Q15040	('T96060008413', 14278)
Q15041	('T96060001038', 14279)
Q15043	('T96060015322', 14280)
Q15046	('T96060016887', 14281)
Q15048	('T96060009512', 14282)
Q15051	('T96060008242', 14283)
Q15058	('T96060008773', 14284)
Q15061	('T96060019269', 14285)
Q15067	('T96060000367', 14286)
Q15075	('T96060005078', 14287)
Q15077	('T96060012372', 14288)
Q15078	('T96060002635', 14289)
Q15084	('T96060012766', 14290)
Q15109	('T96060014093', 14291)
Q15113	('T96060012698', 14292)
Q15119	('T96060012772', 14293)
Q15120	('T96060012773', 14294)
Q15121	('T96060012809', 14295)
Q15124	('T96060012912', 14296)
Q15125	('T96060005038', 14297)
Q15126	('T96060013290', 14298)
Q15149	('T96060013195', 14299)
Q15154	('T96060012692', 14300)
Q15165	('T96060013356', 14301)
Q15166	('T96060013357', 14302)
Q15170	('T96060017260', 14303)
Q15172	('T96060000080', 14304)
Q15181	('T96060008240', 14305)
Q15185	('T96060017341', 14306)
Q15233	('T96060011371', 14307)
Q15256	('T96060013873', 14308)
Q15257	('T96060013855', 14309)
Q15262	('T96060013868', 14310)
Q15269	('T96060013914', 14311)
Q15274	('T96060010889', 14312)
Q15286	('T96060014030', 14313)
Q15323	('T96060008478', 14314)
Q15329	('T96060005013', 14315)
Q15334	('T96060009143', 14316)
Q15361	('T96060018470', 14317)
Q15363	('T96060017866', 14318)
Q15369	('T96060005223', 14319)
Q15370	('T96060005222', 14320)
Q15375	('T96060005356', 14321)
Q15382	('T96060014473', 14322)
Q15386	('T96060018763', 14323)
Q15389	('T96060000810', 14324)
Q15398	('T96060004651', 14325)
Q15413	('T96060015116', 14326)
Q15424	('T96060015383', 14327)
Q15427	('T96060015730', 14328)
Q15428	('T96060015725', 14329)
Q15431	('T96060016865', 14330)
Q15435	('T96060013396', 14331)
Q15436	('T96060015461', 14332)
Q15437	('T96060015462', 14333)
Q15438	('T96060004207', 14334)
Q15464	('T96060015826', 14335)
Q15465	('T96060015837', 14336)
Q15466	('T96060011484', 14337)
Q15477	('T96060015988', 14338)
Q15506	('T96060016301', 14339)
Q15517	('T96060002735', 14340)
Q15526	('T96060016820', 14341)
Q15528	('T96060010112', 14342)
Q15532	('T96060016627', 14343)
Q15543	('T96060017088', 14344)
Q15546	('T96060012533', 14345)
Q15554	('T96060017383', 14346)
Q15561	('T96060017338', 14347)
Q15562	('T96060017336', 14348)
Q15569	('T96060017385', 14349)
Q15573	('T96060017089', 14350)
Q15596	('T96060011008', 14351)
Q155Q3	('T96060004613', 14352)
Q155U0	('T79550002994', 14353)
Q15615	('T96060012098', 14354)
Q15617	('T96060012217', 14355)
Q15629	('T96060018167', 14356)
Q15633	('T96060018175', 14357)
Q15642	('T96060003121', 14358)
Q15643	('T96060018283', 14359)
Q15648	('T96060010109', 14360)
Q15649	('T96060020357', 14361)
Q15653	('T96060008028', 14362)
Q15654	('T96060018282', 14363)
Q15661	('T96060018343', 14364)
Q15669	('T96060014520', 14365)
Q15678	('T96060013839', 14366)
Q15696	('T96060018696', 14367)
Q15697	('T96060019883', 14368)
Q15700	('T96060004643', 14369)
Q15717	('T96060005191', 14370)
Q15726	('T96060008812', 14371)
Q15743	('T96060011950', 14372)
Q15744	('T96060002794', 14373)
Q15746	('T96060010796', 14374)
Q15750	('T96060017070', 14375)
Q15751	('T96060007401', 14376)
Q15758	('T96060000182', 14377)
Q15768	('T96060005127', 14378)
Q15772	('T96060016382', 14379)
Q15773	('T96060010355', 14380)
Q15776	('T96060019836', 14381)
Q15785	('T96060018032', 14382)
Q15788	('T96060011007', 14383)
Q15796	('T96060016056', 14384)
Q157S1	('T101160001669', 14385)
Q15814	('T96060017209', 14386)
Q15818	('T96060011469', 14387)
Q15819	('T96060018729', 14388)
Q15831	('T96060016712', 14389)
Q15833	('T96060016785', 14390)
Q15835	('T96060007082', 14391)
Q15836	('T96060019019', 14392)
Q15847	('T96060000495', 14393)
Q15848	('T96060000493', 14394)
Q15853	('T96060018976', 14395)
Q15878	('T96060002026', 14396)
Q15907	('T96060014153', 14397)
Q15911	('T96060019780', 14398)
Q15916	('T96060019701', 14399)
Q15928	('T96060019873', 14400)
Q15937	('T96060020339', 14401)
Q15942	('T96060020428', 14402)
Q15973	('T96060019863', 14403)
Q15KI9	('T37020010034', 14404)
Q16099	('T96060007075', 14405)
Q16181	('T96060015682', 14406)
Q16186	('T96060000509', 14407)
Q16222	('T96060018709', 14408)
Q16270	('T96060007840', 14409)
Q16280	('T96060003414', 14410)
Q16322	('T96060008568', 14411)
Q16342	('T96060012726', 14412)
Q16348	('T96060015158', 14413)
Q16363	('T96060009165', 14414)
Q16378	('T96060013626', 14415)
Q16385	('T96060016619', 14416)
Q16401	('T96060013774', 14417)
Q16512	('T96060013131', 14418)
Q16514	('T96060017087', 14419)
Q16515	('T96060001249', 14420)
Q16517	('T96060011334', 14421)
Q16518	('T96060014887', 14422)
Q16520	('T96060001572', 14423)
Q16526	('T96060003890', 14424)
Q16537	('T96060000083', 14425)
Q16552	('T96060008054', 14426)
Q16553	('T96060009718', 14427)
Q16555	('T96060004830', 14428)
Q16557	('T96060013761', 14429)
Q16560	('T96060018690', 14430)
Q16563	('T96060016914', 14431)
Q16566	('T96060008580', 14432)
Q16568	('T96060002168', 14433)
Q16572	('T96060019015', 14434)
Q16576	('T96060014175', 14435)
Q16584	('T96060009782', 14436)
Q16587	('T96060020336', 14437)
Q16595	('T96060006259', 14438)
Q16611	('T96060001554', 14439)
Q16612	('T96060011515', 14440)
Q16613	('T96060016154', 14441)
Q16619	('T96060004024', 14442)
Q16620	('T96060011608', 14443)
Q16623	('T96060016775', 14444)
Q16626	('T96060010094', 14445)
Q16644	('T96060009933', 14446)
Q16649	('T96060011192', 14447)
Q16651	('T96060013714', 14448)
Q16655	('T96060009935', 14449)
Q16656	('T96060011516', 14450)
Q16658	('T96060006293', 14451)
Q16659	('T96060010325', 14452)
Q16661	('T96060007192', 14453)
Q16663	('T96060002493', 14454)
Q16665	('T96060007448', 14455)
Q16666	('T96060007885', 14456)
Q16667	('T96060002715', 14457)
Q16690	('T96060004942', 14458)
Q16695	('T96060007261', 14459)
Q16706	('T96060009822', 14460)
Q16718	('T96060011053', 14461)
Q16739	('T96060002800', 14462)
Q16760	('T96060004523', 14463)
Q16762	('T96060017550', 14464)
Q16772	('T96060007138', 14465)
Q16775	('T96060006751', 14466)
Q16777	('T96060007232', 14467)
Q16778	('T96060007255', 14468)
Q16790	('T96060002085', 14469)
Q16795	('T96060011057', 14470)
Q16819	('T96060010155', 14471)
Q16828	('T96060004943', 14472)
Q16831	('T96060018954', 14473)
Q16850	('T96060003722', 14474)
Q16853	('T96060000917', 14475)
Q16854	('T96060004533', 14476)
Q16864	('T96060019044', 14477)
Q16875	('T96060005721', 14478)
Q16878	('T96060002724', 14479)
Q16880	('T96060002970', 14480)
Q16881	('T96060018336', 14481)
Q16890	('T96060018085', 14482)
Q17328	('T62390001127', 14483)
Q17330	('T62390002674', 14484)
Q17339	('T62390001104', 14485)
Q17345	('T62390000484', 14486)
Q17348	('T62390002746', 14487)
Q17370	('T62390001966', 14488)
Q17381	('T62390002232', 14489)
Q17390	('T62390000598', 14490)
Q17391	('T62390000599', 14491)
Q17423	('T62390000563', 14492)
Q17424	('T62390003127', 14493)
Q17551	('T62390002552', 14494)
Q17603	('T62390000171', 14495)
Q17607	('T62390001631', 14496)
Q17635	('T62390001880', 14497)
Q17667	('T62390001579', 14498)
Q17684	('T62390002537', 14499)
Q17745	('T62390003218', 14500)
Q17778	('T62390002093', 14501)
Q17802	('T62390000542', 14502)
Q17820	('T62390002626', 14503)
Q17850	('T62390002256', 14504)
Q17868	('T62390000442', 14505)
Q17895	('T62390001730', 14506)
Q17941	('T62390000097', 14507)
Q17958	('T62390002184', 14508)
Q17990	('T62390001573', 14509)
Q17R89	('T96060014509', 14510)
Q17R98	('T96060020273', 14511)
Q17RD7	('T96060016929', 14512)
Q17RW2	('T96060003586', 14513)
Q17RY0	('T96060003729', 14514)
Q17TI5	('T37020001839', 14515)
Q18007	('T62390000045', 14516)
Q18014	('T62390002118', 14517)
Q18086	('T62390001114', 14518)
Q18115	('T62390002355', 14519)
Q18163	('T62390000667', 14520)
Q18192	('T62390001958', 14521)
Q18206	('T62390001856', 14522)
Q18211	('T62390002416', 14523)
Q18217	('T62390003332', 14524)
Q18221	('T62390002689', 14525)
Q18240	('T62390002807', 14526)
Q18246	('T62390002405', 14527)
Q18312	('T62390002442', 14528)
Q18321	('T62390000639', 14529)
Q18336	('T62390001215', 14530)
Q18409	('T62390002593', 14531)
Q18411	('T62390002079', 14532)
Q18425	('T62390002802', 14533)
Q18446	('T62390000257', 14534)
Q18452	('T62390001620', 14535)
Q18486	('T62390000530', 14536)
Q18677	('T62390000692', 14537)
Q18680	('T62390001417', 14538)
Q18685	('T62390003340', 14539)
Q18688	('T62390001323', 14540)
Q18726	('T62390000430', 14541)
Q18779	('T62390002822', 14542)
Q18786	('T62390002745', 14543)
Q18803	('T62390000209', 14544)
Q18806	('T62390002455', 14545)
Q18807	('T62390002115', 14546)
Q18825	('T62390000219', 14547)
Q18879	('T62390000340', 14548)
Q18885	('T62390000289', 14549)
Q18964	('T62390003442', 14550)
Q18PI6	('T100900013592', 14551)
Q19127	('T62390002043', 14552)
Q19131	('T62390002051', 14553)
Q19187	('T62390001053', 14554)
Q19192	('T62390000783', 14555)
Q19203	('T62390003376', 14556)
Q19204	('T62390000080', 14557)
Q19213	('T62390003408', 14558)
Q19253	('T62390003177', 14559)
Q19266	('T62390001486', 14560)
Q19272	('T62390001768', 14561)
Q19317	('T62390001869', 14562)
Q19326	('T62390000172', 14563)
Q19360	('T62390003285', 14564)
Q19404	('T62390003481', 14565)
Q19408	('T62390000958', 14566)
Q19420	('T62390001398', 14567)
Q19469	('T62390002625', 14568)
Q19503	('T62390001293', 14569)
Q19546	('T62390003459', 14570)
Q19564	('T62390002141', 14571)
Q19572	('T62390001148', 14572)
Q19626	('T62390003390', 14573)
Q19640	('T62390000233', 14574)
Q19642	('T62390004068', 14575)
Q19683	('T62390004041', 14576)
Q19705	('T62390000156', 14577)
Q19722	('T62390003031', 14578)
Q19746	('T62390001411', 14579)
Q19749	('T62390002112', 14580)
Q19802	('T62390000961', 14581)
Q19825	('T62390003035', 14582)
Q19848	('T62390003436', 14583)
Q19905	('T62390003322', 14584)
Q19952	('T62390001591', 14585)
Q19954	('T62390003430', 14586)
Q19967	('T62390000858', 14587)
Q19969	('T62390001393', 14588)
Q19972	('T62390000386', 14589)
Q19980	('T62390001046', 14590)
Q19KC1	('T45770000408', 14591)
Q19T08	('T96060005057', 14592)
Q1A173	('T37020011605', 14593)
Q1A3B0	('T100900002455', 14594)
Q1EBV7	('T37020001461', 14595)
Q1EC66	('T37020014636', 14596)
Q1EC69	('T37020013186', 14597)
Q1ECE0	('T37020014790', 14598)
Q1ECW2	('T79550001800', 14599)
Q1EG72	('T45770000711', 14600)
Q1EHB4	('T96060015481', 14601)
Q1EHW4	('T100900013068', 14602)
Q1G1A4	('T37020007447', 14603)
Q1G3L1	('T37020014103', 14604)
Q1G3T1	('T37020013948', 14605)
Q1HDT3	('T37020002559', 14606)
Q1HG43	('T96060004772', 14607)
Q1HG44	('T96060004773', 14608)
Q1HKZ5	('T100900008382', 14609)
Q1JPL7	('T37020010263', 14610)
Q1JPM5	('T37020009272', 14611)
Q1JPY4	('T79550002688', 14612)
Q1JPZ3	('T79550002578', 14613)
Q1JRP2	('T100900015112', 14614)
Q1L8J7	('T79550003054', 14615)
Q1L8L9	('T79550001285', 14616)
Q1L8X9	('T79550002983', 14617)
Q1L8Y6	('T79550000209', 14618)
Q1LUC3	('T79550001290', 14619)
Q1LWJ6	('T79550000141', 14620)
Q1LX78	('T79550000408', 14621)
Q1LXE6	('T79550002874', 14622)
Q1LY10	('T79550000942', 14623)
Q1LY77	('T79550002424', 14624)
Q1LYE3	('T79550003089', 14625)
Q1LYG0	('T79550002548', 14626)
Q1LZ50	('T101160002033', 14627)
Q1MSJ5	('T96060003961', 14628)
Q1MTE5	('T79550000131', 14629)
Q1MTN3	('T2848120002129', 14630)
Q1MTN7	('T2848120002735', 14631)
Q1MTR4	('T2848120000584', 14632)
Q1PDP9	('T37020008528', 14633)
Q1PDV2	('T37020013413', 14634)
Q1PDV6	('T37020009656', 14635)
Q1PE15	('T37020008093', 14636)
Q1PEF6	('T37020001114', 14637)
Q1PF16	('T37020001628', 14638)
Q1PF17	('T37020001627', 14639)
Q1PFC2	('T37020000510', 14640)
Q1PFD9	('T37020013868', 14641)
Q1PFJ4	('T37020011383', 14642)
Q1PFR7	('T37020007536', 14643)
Q1PFW3	('T37020002341', 14644)
Q1PSW8	('T100900008026', 14645)
Q1RKN3	('T2848120003435', 14646)
Q1RLX4	('T79550002828', 14647)
Q1W617	('T100900013471', 14648)
Q1W6H9	('T96060005572', 14649)
Q1WG82	('T100900016800', 14650)
Q1WIM2	('T101160000932', 14651)
Q1ZXH8	('T446890001299', 14652)
Q1ZXI0	('T446890002367', 14653)
Q1ZXK2	('T446890001028', 14654)
Q1ZXQ0	('T446890002143', 14655)
Q1ZXQ4	('T446890000995', 14656)
Q1ZXQ8	('T446890001814', 14657)
Q1ZXS5	('T62390003429', 14658)
Q1ZZU3	('T96060016849', 14659)
Q20025	('T62390002327', 14660)
Q20059	('T62390003447', 14661)
Q20060	('T62390002739', 14662)
Q20106	('T62390001311', 14663)
Q20117	('T62390001185', 14664)
Q20334	('T62390003172', 14665)
Q20347	('T62390001715', 14666)
Q20363	('T62390002712', 14667)
Q20374	('T62390002169', 14668)
Q20405	('T62390002824', 14669)
Q20411	('T62390002825', 14670)
Q20443	('T62390002323', 14671)
Q20481	('T62390002716', 14672)
Q20496	('T62390001084', 14673)
Q20502	('T62390001327', 14674)
Q20507	('T62390000027', 14675)
Q20574	('T62390002985', 14676)
Q20605	('T62390000117', 14677)
Q20616	('T62390002720', 14678)
Q20618	('T62390002827', 14679)
Q20636	('T62390001039', 14680)
Q20646	('T62390000400', 14681)
Q20655	('T62390000002', 14682)
Q20678	('T62390000896', 14683)
Q20679	('T62390002276', 14684)
Q20687	('T62390003152', 14685)
Q20733	('T62390002628', 14686)
Q20745	('T62390003368', 14687)
Q20751	('T62390001348', 14688)
Q20757	('T62390002376', 14689)
Q20758	('T62390000155', 14690)
Q20787	('T62390002621', 14691)
Q20797	('T62390002988', 14692)
Q20870	('T62390000647', 14693)
Q20924	('T62390003000', 14694)
Q20938	('T62390002339', 14695)
Q21018	('T62390000565', 14696)
Q21041	('T62390003406', 14697)
Q21059	('T62390001854', 14698)
Q21086	('T62390001137', 14699)
Q21121	('T62390001636', 14700)
Q21154	('T62390001748', 14701)
Q21190	('T62390003345', 14702)
Q21209	('T62390000220', 14703)
Q21215	('T62390001041', 14704)
Q21221	('T62390000091', 14705)
Q21227	('T62390000141', 14706)
Q21270	('T62390000498', 14707)
Q21281	('T62390001808', 14708)
Q21313	('T62390000870', 14709)
Q21338	('T62390002814', 14710)
Q21341	('T62390001527', 14711)
Q21346	('T62390000602', 14712)
Q21376	('T62390002994', 14713)
Q21412	('T62390002162', 14714)
Q21443	('T62390001576', 14715)
Q21444	('T62390000496', 14716)
